강좌명,강사명,교육시작일자,교육종료일자,교육시작시각,교육종료시각,강좌내용,교육대상구분,교육방법구분,운영요일,교육장소,강좌정원수,수강료,교육장도로명주소,운영기관명,운영기관전화번호,접수시작일자,접수종료일자,접수방법구분,선정방법구분,홈페이지주소,직업능력개발훈련비지원강좌여부,학점은행제평가(학점)인정여부,평생학습계좌제평가인정여부,데이터기준일자
[수서2] 통기타(기초),임곤정,2026-05-20,2026-08-12,14:00,16:00,악기,성인,오프라인,수요일,수서평생학습센터 음악강의실,12,72000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 일상에서 바로 쓰는 스마트폰 AI,신현성,2026-05-20,2026-08-12,14:00,16:00,디지털,성인,오프라인,수요일,수서평생학습센터 일반강의실,16,72000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[개포2] 실전 부동산 경매 투자비법,정희철,2026-05-20,2026-08-12,14:00,16:00,기타,성인,오프라인,수요일,개포평생학습센터 강의실,30,72000,서울특별시 강남구 개포로410,서울특별시 강남구청,02-529-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[개포2] 쌀&무버터 디저트,이윤주,2026-05-20,2026-08-12,14:00,16:00,요리,성인,오프라인,수요일,개포평생학습센터 요리실,12,72000,서울특별시 강남구 개포로410,서울특별시 강남구청,02-529-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 플루트 교실(중급),노현지,2026-05-20,2026-08-12,11:00,11:50,악기,성인,오프라인,수요일,수서평생학습센터 음악강의실,10,36000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2]아이패드로 그리는 어반스케치,이필두,2026-05-20,2026-08-12,10:00,12:00,디지털,성인,오프라인,수요일,논현글로벌평생학습센터 3층 2강의실,18,72000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 행복을 담은 그림 민화 (초급),박현숙,2026-05-20,2026-08-12,10:00,12:00,미술/서예,성인,오프라인,수요일,일원평생학습센터 강의실,16,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 캔바&AI활용 그래픽 디자인,류한민,2026-05-20,2026-08-12,10:00,12:00,디지털,성인,오프라인,수요일,일원평생학습센터 강의실,18,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 타노시이 니홍고 (즐거운 일본어) (초급),변정현,2026-05-20,2026-08-12,10:00,12:00,일본어,성인,오프라인,수요일,일원평생학습센터 강의실,25,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
"[일원2] 힐링 연필&색연필스케치 (인물화,풍경화,꽃)",김은영,2026-05-20,2026-08-12,10:00,12:00,미술/서예,성인,오프라인,수요일,일원평생학습센터 강의실,16,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 쉽게 통하는 엄마표 학습코칭 (A/6회),하혜정,2026-05-20,2026-07-01,10:00,12:00,기타,성인,오프라인,수요일,일원평생학습센터 강의실,16,36000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 플루트 교실(초급),노현지,2026-05-20,2026-08-12,10:00,10:50,악기,성인,오프라인,수요일,수서평생학습센터 음악강의실,10,36000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 유러피안플라워&플로리스트,이승은,2026-05-20,2026-08-12,10:00,12:00,취미,성인,오프라인,수요일,수서평생학습센터 일반강의실,16,72000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[개포2] 연필 드로잉,김래형,2026-05-20,2026-08-12,10:00,12:00,미술/서예,성인,오프라인,수요일,개포평생학습센터 강의실,16,72000,서울특별시 강남구 개포로410,서울특별시 강남구청,02-529-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[개포2] 저속노화 요리교실,안응자,2026-05-20,2026-08-12,10:00,12:00,요리,성인,오프라인,수요일,개포평생학습센터 요리실,16,72000,서울특별시 강남구 개포로410,서울특별시 강남구청,02-529-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[개포2] 한 그릇 건강 요리교실,안응자,2026-05-19,2026-08-04,19:00,21:00,요리,성인,오프라인,화요일,개포평생학습센터 요리실,16,72000,서울특별시 강남구 개포로410,서울특별시 강남구청,02-529-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[개포2] 미래힐링 사주명리학,안상호,2026-05-19,2026-08-04,19:00,21:00,인문/독서,성인,오프라인,화요일,개포평생학습센터 강의실,25,72000,서울특별시 강남구 개포로410,서울특별시 강남구청,02-529-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 어린이 피아노(B),문채현,2026-05-19,2026-08-04,15:30,16:20,초등,성인,오프라인,화요일,수서평생학습센터 음악강의실,5,78000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2][특화]한국외대와 함께하는 일본어 초급Ⅴ,"김병숙, 미즈구치 나츠코",2026-05-19,2026-08-06,15:00,16:30,일본어,성인,오프라인,화요일+목요일,논현글로벌평생학습센터 3층 4강의실,12,180000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[개포2] 아빠요리교실,안응자,2026-05-19,2026-08-04,15:00,17:00,요리,성인,오프라인,화요일,개포평생학습센터 요리실,16,72000,서울특별시 강남구 개포로410,서울특별시 강남구청,02-529-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2]영화로 떠나는 스페인·중남미 인문학 여행,한준,2026-05-19,2026-08-04,14:30,16:30,기타,성인,오프라인,화요일,논현글로벌평생학습센터 2층 커뮤니티실,12,72000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 어린이 피아노(A),문채현,2026-05-19,2026-08-04,14:30,15:20,초등,성인,오프라인,화요일,수서평생학습센터 음악강의실,5,78000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2]테마별 쉬운 영어회화(초중급),Declan Griffin,2026-05-19,2026-08-04,14:00,16:00,영어,성인,오프라인,화요일,논현글로벌평생학습센터 3층 2강의실,20,72000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 재미있는 인물화 캐리커쳐,김희진,2026-05-19,2026-08-04,14:00,16:00,미술/서예,성인,오프라인,화요일,일원평생학습센터 강의실,16,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 서양미술사와 함께하는 해외 미술관 산책: 현대미술편,김동현,2026-05-19,2026-08-04,14:00,16:00,인문/독서,성인,오프라인,화요일,일원평생학습센터 강의실,30,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 영상편집 몰라도 OK AI 영상 창작 클래스,민지애,2026-05-19,2026-08-04,14:00,16:00,디지털,성인,오프라인,화요일,일원평생학습센터 강의실,18,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 부동산경매고급과정 (권리분석 기초·입문편),김병진,2026-05-19,2026-08-04,14:00,16:00,기타,성인,오프라인,화요일,일원평생학습센터 강의실,30,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 찐중국어_테마중국어회화 (초급),진채란,2026-05-19,2026-08-04,14:00,16:00,중국어,성인,오프라인,화요일,일원평생학습센터 강의실,20,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 인물로 읽는 『사기 史記』:인간의 욕망과 선택의 역사,노은정,2026-05-19,2026-08-04,14:00,16:00,인문/독서,성인,오프라인,화요일,일원평생학습센터 강의실,18,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 내 마음의 비밀지도:셀프타로,양은미,2026-05-19,2026-08-04,14:00,16:00,취미,성인,오프라인,화요일,수서평생학습센터 일반강의실,16,72000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[개포2] 기초부터 쉽게 배우는 일본어(초급),정은경,2026-05-19,2026-08-04,14:00,16:00,일본어,성인,오프라인,화요일,개포평생학습센터 강의실,20,72000,서울특별시 강남구 개포로410,서울특별시 강남구청,02-529-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2][특화]세르반테스문화원과 함께하는 스페인어 회화 초급 A2,María Reyes González Portela,2026-05-19,2026-08-06,13:30,15:00,기타외국어,성인,오프라인,화요일+목요일,논현글로벌평생학습센터 3층 1강의실,12,180000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 화요 피아노,문채현,2026-05-19,2026-08-04,13:30,14:20,악기,성인,오프라인,화요일,수서평생학습센터 음악강의실,5,78000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2][특화]한국외대와 함께하는 일본어 초급Ⅳ,"김병숙, 미즈구치 나츠코",2026-05-19,2026-08-06,13:20,14:50,일본어,성인,오프라인,화요일+목요일,논현글로벌평생학습센터 3층 4강의실,12,180000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 화요오전 피아노(C),허진주,2026-05-19,2026-08-04,11:30,12:20,악기,성인,오프라인,화요일,수서평생학습센터 음악강의실,5,78000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2][특화]한국외대와 함께하는 일본어 초급Ⅲ,"변정현, 미즈구치 나츠코",2026-05-19,2026-08-06,10:30,12:00,일본어,성인,오프라인,화요일+목요일,논현글로벌평생학습센터 3층 4강의실,12,180000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2][특화]세르반테스문화원과 함께하는 스페인어 회화 입문 A1,María Reyes González Portela,2026-05-19,2026-08-06,10:30,12:00,기타외국어,성인,오프라인,화요일+목요일,논현글로벌평생학습센터 3층 1강의실,12,180000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 화요오전 피아노(B),허진주,2026-05-19,2026-08-04,10:30,11:20,악기,성인,오프라인,화요일,수서평생학습센터 음악강의실,5,78000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2][특화]원어민과 함께하는 뉴스영어,Brian Stuart,2026-05-19,2026-08-06,10:00,11:30,영어,성인,오프라인,화요일+목요일,논현글로벌평생학습센터 3층 2강의실,12,180000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
"[일원2] 처음 만나는 가곡, 쉽게 부르는 성악 발성",이선욱,2026-05-19,2026-08-04,10:00,12:00,노래/민요,성인,오프라인,화요일,일원평생학습센터 강의실,16,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 유럽의 도시에서 건축을 만나다,김성은,2026-05-19,2026-08-04,10:00,12:00,기타,성인,오프라인,화요일,일원평생학습센터 강의실,30,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 에세이 쓰기 입문,유영희,2026-05-19,2026-08-04,10:00,12:00,인문/독서,성인,오프라인,화요일,일원평생학습센터 강의실,16,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 영문필사-일상에서 쓰는 영문손글씨 클래스,민병화,2026-05-19,2026-08-04,10:00,12:00,미술/서예,성인,오프라인,화요일,일원평생학습센터 강의실,16,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 생활여행영어,구본희,2026-05-19,2026-08-04,10:00,12:00,영어,성인,오프라인,화요일,일원평생학습센터 강의실,18,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 아는 영어 말고 (말)하는 영어,신은영,2026-05-19,2026-08-04,10:00,12:00,영어,성인,오프라인,화요일,수서평생학습센터 일반강의실,16,72000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 화요오전 피아노(A),허진주,2026-05-19,2026-08-04,09:30,10:20,악기,성인,오프라인,화요일,수서평생학습센터 음악강의실,5,78000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2][특화]프랑스 대사관 어학센터와 함께하는 프랑스어 초급 A1.2,Anaïs KUHN,2026-05-18,2026-08-12,15:00,16:30,기타외국어,성인,오프라인,월요일+수요일,논현글로벌평생학습센터 3층 1강의실,12,180000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2]원어민과 함께하는 프리토킹 영어,Declan Griffin,2026-05-18,2026-08-10,14:00,16:00,영어,성인,오프라인,월요일,논현글로벌평생학습센터 3층 4강의실,16,72000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2]우아한 필체 : 영문캘리그라피 워크숍,민병화,2026-05-18,2026-08-10,14:00,16:00,미술/서예,성인,오프라인,월요일,논현글로벌평생학습센터 3층 2강의실,16,72000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 한땀한땀 만드는 가죽공예,강서희,2026-05-18,2026-08-10,14:00,16:00,취미,성인,오프라인,월요일,일원평생학습센터 강의실,18,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 트래블 인사이트: 여행 트렌드를 이끄는 도시들,홍수연,2026-05-18,2026-08-10,14:00,16:00,기타,성인,오프라인,월요일,일원평생학습센터 강의실,30,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 영어 토탈리스닝 (초중급),유선화,2026-05-18,2026-08-10,14:00,16:00,영어,성인,오프라인,월요일,일원평생학습센터 강의실,20,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] (시니어)생성형 AI를 활용한 콘텐츠 제작,정경혜,2026-05-18,2026-08-10,14:00,16:00,디지털,성인,오프라인,월요일,일원평생학습센터 강의실,18,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
"[일원2] 어느덧, 감성수채화",조경아,2026-05-18,2026-08-10,14:00,16:00,미술/서예,성인,오프라인,월요일,일원평생학습센터 강의실,16,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 오디오드라마 제작과 낭독하기,이서륜,2026-05-18,2026-08-10,14:00,16:00,취미,성인,오프라인,월요일,일원평생학습센터 강의실,16,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 한 붓으로 그려요(기초 수채화),송효정,2026-05-18,2026-08-10,14:00,16:00,미술/서예,성인,오프라인,월요일,수서평생학습센터 일반강의실,16,72000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 오카리나,하은순,2026-05-18,2026-08-10,14:00,16:00,악기,성인,오프라인,월요일,수서평생학습센터 음악강의실,12,72000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[개포2] 여행도 일상도 톡톡영어,임수진,2026-05-18,2026-08-10,14:00,16:00,영어,성인,오프라인,월요일,개포평생학습센터 강의실,30,72000,서울특별시 강남구 개포로410,서울특별시 강남구청,02-529-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[개포2] 홈스토랑 이탈리안 파티 테이블,박미현,2026-05-18,2026-08-10,14:00,16:00,요리,성인,오프라인,월요일,개포평생학습센터 요리실,16,72000,서울특별시 강남구 개포로410,서울특별시 강남구청,02-529-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2][특화]이탈리아어 입문,이운영,2026-05-18,2026-08-12,13:20,14:50,기타외국어,성인,오프라인,월요일+수요일,논현글로벌평생학습센터 2층 커뮤니티실,12,180000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2][특화]프랑스 대사관 어학센터와 함께하는 프랑스어 초중급 A2.4,Anaïs KUHN,2026-05-18,2026-08-12,13:20,14:50,기타외국어,성인,오프라인,월요일+수요일,논현글로벌평생학습센터 3층 1강의실,12,180000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2][특화]이탈리아어 초급Ⅲ,이운영,2026-05-18,2026-08-12,10:30,12:00,기타외국어,성인,오프라인,월요일+수요일,논현글로벌평생학습센터 2층 커뮤니티실,12,180000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2][특화]프랑스 대사관 어학센터와 함께하는 프랑스어 초중급 A2.3,Anaïs KUHN,2026-05-18,2026-08-12,10:30,12:00,기타외국어,성인,오프라인,월요일+수요일,논현글로벌평생학습센터 3층 1강의실,12,180000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2]오디오드라마 제작클래스,이서륜,2026-05-18,2026-08-10,10:00,12:00,취미,성인,오프라인,월요일,논현글로벌평생학습센터 3층 2강의실,16,72000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2][특화]부모·조부모를 위한 육아 영어,Andrew P. Otto,2026-05-18,2026-08-12,10:00,11:30,영어,성인,오프라인,월요일+수요일,논현글로벌평생학습센터 3층 4강의실,12,180000,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 유러피안 플라워&플로리스트,이승은,2026-05-18,2026-08-10,10:00,12:00,취미,성인,오프라인,월요일,일원평생학습센터 강의실,18,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 아이패드로 그리는 어반스케치,이필두,2026-05-18,2026-08-10,10:00,12:00,미술/서예,성인,오프라인,월요일,일원평생학습센터 강의실,18,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
"[일원2] 미술관 산책, 화가들의 삶",박영랑,2026-05-18,2026-08-10,10:00,12:00,인문/독서,성인,오프라인,월요일,일원평생학습센터 강의실,30,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 인물이 있는 생동감 있는 풍경 드로잉,이수정,2026-05-18,2026-08-10,10:00,12:00,미술/서예,성인,오프라인,월요일,일원평생학습센터 강의실,16,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[일원2] 손 끝에 담는 매듭공예,박진영,2026-05-18,2026-08-10,10:00,12:00,도자기/공예,성인,오프라인,월요일,일원평생학습센터 강의실,16,72000,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 금쪽미술심리상담소(자격준비반),문주,2026-05-18,2026-08-10,10:00,12:00,자격증,성인,오프라인,월요일,수서평생학습센터 일반강의실,16,72000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[수서2] 편하게 노래하는 발성법,심원민,2026-05-18,2026-08-10,10:00,12:00,노래/민요,성인,오프라인,월요일,수서평생학습센터 음악강의실,12,72000,서울특별시 강남구 밤고개로165,서울특별시 강남구청,02-451-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[개포2] 에세이 쓰기 첫걸음,유영희,2026-05-18,2026-08-10,10:00,12:00,인문/독서,성인,오프라인,월요일,개포평생학습센터 강의실,20,72000,서울특별시 강남구 개포로410,서울특별시 강남구청,02-529-1225,2026-04-28,2026-05-12,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[개포2] 지중해식 한식 보양,박미현,2026-05-18,2026-08-10,10:00,12:00,요리,성인,오프라인,월요일,개포평생학습센터 요리실,16,72000,서울특별시 강남구 개포로410,서울특별시 강남구청,02-529-1225,2026-04-06,2026-05-10,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
평생교육 강사를 위한 장애 인권 감수성 향상 과정4 [5. 13(수) 오후 7시/대치],주은미,2026-05-13,2026-05-13,19:00,21:00,시민참여,성인,오프라인,수요일,대치평생학습관 2강의실,20,0,서울특별시 강남구 영동대로 57길 7,서울특별시 강남구청,02-3423-5288,2026-04-06,2026-05-10,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
평생교육 강사를 위한 장애 인권 감수성 향상 과정3 [5. 13(수) 오후 2시/일원],주은미,2026-05-13,2026-05-13,14:00,16:00,시민참여,성인,오프라인,수요일,일원평생학습센터 2강의실,20,0,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-20,2026-05-07,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
2026. 모두가 함께하는 수어특강-초급,강회주 외,2026-05-11,2026-07-06,10:00,11:30,시민참여,성인,오프라인,월요일+수요일,일원평생학습센터 제9강의실,15,0,서울특별시 강남구 영동대로22,서울특별시 강남구청,02-3423-7955,2026-04-21,2026-04-30,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2][세계인의 날 특강] 주한독일문화원장과 함께하는 우리는 왜 극장에 가는가?,클레멘스 트레터 박사(Dr. Clemens Treter),2026-05-08,2026-05-08,14:00,15:30,기타,성인,오프라인,금요일,논현글로벌평생학습센터 3층 3강의실,40,0,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-21,2026-04-30,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
[논현2][세계인의 날 특강]주한체코문화원장과 함께하는 “체코어 미니어학당”,미샤 에마노브스키(Michal Emanovsky),2026-05-07,2026-05-07,14:00,15:30,기타,성인,오프라인,목요일,논현글로벌평생학습센터 3층 3강의실,40,0,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,02-788-4292,2026-04-21,2026-04-30,인터넷,선착순,www.longlearn.go.kr,N,N,N,2026-04-08
